science_name,commercial_name,pharmaceutical_form,presentation,no_of_doses,manufacturer,responsible_nra
Diphtheria-Tetanus-Pertussis (whole cell),Diphtheria-Tetanus-Pertussis Vaccine Adsorbed,Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell),Diphtheria-Tetanus-Pertussis Vaccine Adsorbed,Liquid: ready to use,Vial,20,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell),DT COQ,Liquid: ready to use,Ampoule,1,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Diphtheria-Tetanus-Pertussis (whole cell),DT COQ,Liquid: ready to use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Diphtheria-Tetanus-Pertussis (whole cell),DT COQ,Liquid: ready to use,Ampoule,1,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Diphtheria-Tetanus-Pertussis (whole cell),DTP Vaccine,Liquid: ready to use,Vial,10,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Diphtheria-Tetanus-Pertussis (whole cell)-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis and Haemophilus influenzae type b Conjugate Vaccine",Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Haemophilus influenzae type b,Quattvaxem,Liquid: ready to use,Vial,1,Novartis Vaccines and Diagnostics S.r.l.,Agenzia Italiana del Farmaco
Diphtheria-Tetanus-Pertussis (whole cell)-Haemophilus influenzae type b,Quattvaxem,Liquid: ready to use,Vial,10,Novartis Vaccines and Diagnostics S.r.l.,Agenzia Italiana del Farmaco
Diphtheria-Tetanus-Pertussis (whole cell)-Haemophilus influenzae type b,TETRAct-HIB,Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Diphtheria-Tetanus-Pertussis (whole cell)-Haemophilus influenzae type b,TETRAct-HIB,Lyophilised active component to be reconstituted with liquid active component before use,Vial + Ampoule,1,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B,"Diphtheria ,Tetanus,Pertussis and Hepatitis B Vaccine Adsorbed",Liquid: ready to use,Ampoule,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B,"Diphtheria ,Tetanus,Pertussis and Hepatitis B Vaccine Adsorbed",Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B,"Diphtheria ,Tetanus,Pertussis and Hepatitis B Vaccine Adsorbed",Liquid: ready to use,Vial,20,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B,DTP - Hep B 10,Liquid: ready to use,Vial,10,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B,DTP - Hep B 5,Liquid: ready to use,Vial,5,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis (Whole cell), Hepatitis-B (r-DNA) and Haemophilus Type b Conjugate Vaccine (Adsorbed) Liquid Pentavalent Combination Vaccine",Liquid: ready to use,Vial,1,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis (Whole cell), Hepatitis-B (r-DNA) and Haemophilus Type b Conjugate Vaccine (Adsorbed) Liquid Pentavalent Combination Vaccine",Liquid: ready to use,Vial,10,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis (Whole cell), Hepatitis-B (r-DNA) and Haemophilus Type b Conjugate Vaccine (Adsorbed) Liquid Pentavalent Combination Vaccine",Liquid: ready to use,Vial,5,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis (Whole cell), Hepatitis-B (r-DNA) and Haemophilus Type b Conjugate Vaccine (Adsorbed) Liquid Pentavalent Combination Vaccine",Liquid: ready to use,Vial,2,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine",Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine",Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),2,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine",Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine Adsorbed",Liquid: ready to use,Vial,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine Adsorbed",Liquid: ready to use,Vial,2,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,"Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine Adsorbed",Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Easyfive-TT,Liquid: ready to use,Vial,10,Panacea Biotec Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Easyfive-TT,Liquid: ready to use,Vial,1,Panacea Biotec Ltd.,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Euforvac-Hib Inj,Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),1,LG Life Sciences,Ministry of Food and Drug Safety
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Euforvac-Hib Inj.,Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),2,LG Life Sciences,Ministry of Food and Drug Safety
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Eupenta,Liquid: ready to use,Vial,1,LG Life Sciences,Ministry of Food and Drug Safety
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Eupenta,Liquid: ready to use,Vial,10,LG Life Sciences,Ministry of Food and Drug Safety
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,none,Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),1,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,none,Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),10,Biological E. Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Pentabio,Liquid: ready to use,Vial,5,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Pentabio,Liquid: ready to use,Vial,10,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Quinvaxem,Liquid: ready to use,Vial,1,Janssen Vaccines Corp.,Ministry of Food and Drug Safety
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Quinvaxem MDV,Liquid: ready to use,Vial,5,Janssen Vaccines Corp.,Ministry of Food and Drug Safety
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,quinvaxem MDV,Liquid: ready to use,Vial,10,Janssen Vaccines Corp.,Ministry of Food and Drug Safety
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Shan-5,Liquid: ready to use,Vial,1,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Shan-5,Liquid: ready to use,Vial,10,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Tritanrix HB+Hib,Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + active),1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b,Tritanrix HB+Hib,Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),2,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Haemophilus influenzae type b,-,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Haemophilus influenzae type b,Act-HIB,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Haemophilus influenzae type b,Act-HIB,Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Haemophilus influenzae type b,Pedvax HIB,Liquid: ready to use,Vial,1,Merck Vaccines,Medicines Evaluation Board (MEB)
Haemophilus influenzae type b,Quimi-Hib,Liquid: ready to use,Vial,1,Centro de Ingenieria Genetica y Biotecnologia,Centro para el Control Estatal de la Calidad de los Medicamentos
Haemophilus influenzae type b,Vaxem HIB,Liquid: ready to use,Vial,1,Novartis Vaccines and Diagnostics S.r.l.,Agenzia Italiana del Farmaco
Hepatitis A (inactivated),Havrix 1440 Adult,Liquid: ready to use,Vial,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Hepatitis A (inactivated),Havrix 720 Junior,Liquid: ready to use,Vial,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Hepatitis B,Engerix,Liquid: ready to use,Vial,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Hepatitis B,Engerix,Liquid: ready to use,Vial,10,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Hepatitis B,Engerix,Liquid: ready to use,Vial,20,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Hepatitis B,Euvax B,Liquid: ready to use,Vial,1,LG Life Sciences,Ministry of Food and Drug Safety
Hepatitis B,Euvax B,Liquid: ready to use,Vial,2,LG Life Sciences,Ministry of Food and Drug Safety
Hepatitis B,Euvax B,Liquid: ready to use,Vial,6,LG Life Sciences,Ministry of Food and Drug Safety
Hepatitis B,Euvax B,Liquid: ready to use,Vial,10,LG Life Sciences,Ministry of Food and Drug Safety
Hepatitis B,Heberbiovac HB,Liquid: ready to use,Vial,1,Centro de Ingenieria Genetica y Biotecnologia,Centro para el Control Estatal de la Calidad de los Medicamentos
Hepatitis B,Heberbiovac HB,Liquid: ready to use,Vial,10,Centro de Ingenieria Genetica y Biotecnologia,Centro para el Control Estatal de la Calidad de los Medicamentos
Hepatitis B,Hepatitis B Vaccine Recombinant,Liquid: ready to use,Uniject,1,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Hepatitis B,Hepatitis B Vaccine (rDNA) (Adult),Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Hepatitis B,Hepatitis B Vaccine (rDNA) (Adult),Liquid: ready to use,Ampoule or Vial,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Hepatitis B,Hepatitis B Vaccine (rDNA) (Ped),Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Hepatitis B,Hepatitis B Vaccine (rDNA) (Ped),Liquid: ready to use,Ampoule or Vial,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Hepatitis B,Hepavax,Liquid: ready to use,Vial,1,Janssen Vaccines Corp.,Ministry of Food and Drug Safety
Hepatitis B,Hepavax,Liquid: ready to use,Vial,10,Janssen Vaccines Corp.,Ministry of Food and Drug Safety
Hepatitis B,Hepavax-Gene TF,Liquid: ready to use,Vial,1,Janssen Vaccines Corp.,Ministry of Food and Drug Safety
Hepatitis B,Shanvac-B,Liquid: ready to use,Vial,1,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
Hepatitis B,Shanvac-B,Liquid: ready to use,Vial,2,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
Hepatitis B,Shanvac-B,Liquid: ready to use,Vial,6,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
Hepatitis B,Shanvac-B,Liquid: ready to use,Vial,10,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
Hepatitis B,Shanvac-B,Liquid: ready to use,Vial,20,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
HPV,Cervarix,Liquid: ready to use,Vial,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
HPV,Cervarix,Liquid: ready to use,Vial,2,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
HPV,Gardasil,Liquid: ready to use,Vial,1,Merck Vaccines,European Medicines Agency
"Influenza, pandemic H1N1",Celtura,Liquid: ready to use,Vial,17,Novartis Vaccines and Diagnostics,Paul-Ehrlich-Institut
"Influenza, pandemic H1N1",Fluvirin-H1N1,Liquid: ready to use,Vial,10,Novartis Vaccines & Diagnostics Ltd,CBER/FDA
"Influenza, pandemic H1N1",Focetria,Liquid: ready to use,Vial,10,Novartis Vaccines and Diagnostics S.r.l.,Agenzia Italiana del Farmaco
"Influenza, pandemic H1N1",Green Flu-S,Liquid: ready to use,Vial,1,Green Cross Corporation,Ministry of Food and Drug Safety
"Influenza, pandemic H1N1",Influenza A (H1N1) 2009 monovalent vaccine,Liquid: ready to use,Sprayer,1,MedImmune,CBER/FDA
"Influenza, pandemic H1N1",Influenza A (H1N1) 2009 monovalent vaccine,Liquid: ready to use,Vial,1,Sanofi Pasteur-USA,CBER/FDA
"Influenza, pandemic H1N1",Influenza A (H1N1) 2009 monovalent vaccine,Liquid: ready to use,Vial,10,Sanofi Pasteur-USA,CBER/FDA
"Influenza, pandemic H1N1",NASOVAC,Lyophilised active component to be reconstituted with excipient diluent before use,Vial + Ampoule,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
"Influenza, pandemic H1N1",NASOVAC,Lyophilised active component to be reconstituted with excipient diluent before use,Vial + Ampoule,5,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
"Influenza, pandemic H1N1",Panenza,Liquid: ready to use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
"Influenza, pandemic H1N1",Panvax,Liquid: ready to use,Vial,10,CSL Limited,Therapeutic Goods Administration
"Influenza, seasonal",FluLaval,Liquid: ready to use,Vial,10,GlaxoSmithKline Biologicals SA,Health Canada - Sant� Canada
"Influenza, seasonal",Fluvirin,Liquid: ready to use,Vial,10,Novartis Vaccines & Diagnostics Ltd,CBER/FDA
"Influenza, seasonal",Fluzone,Liquid: ready to use,Vial,1,Sanofi Pasteur-USA,CBER/FDA
"Influenza, seasonal",Fluzone,Liquid: ready to use,Vial,10,Sanofi Pasteur-USA,CBER/FDA
"Influenza, seasonal",Fluzone Quadrivalent,Liquid: ready to use,Vial,1,Sanofi Pasteur-USA,CBER/FDA
"Influenza, seasonal",Fluzone Quadrivalent,Liquid: ready to use,Vial,10,Sanofi Pasteur-USA,CBER/FDA
"Influenza, seasonal",GC FLU inj,Liquid: ready to use,Vial,1,Green Cross Corporation,Ministry of Food and Drug Safety
"Influenza, seasonal",GC FLU Multi inj.,Liquid: ready to use,Vial,10,Green Cross Corporation,Ministry of Food and Drug Safety
"Influenza, seasonal","Influenza Vaccine (Split virion, inactivated)",Liquid: ready to use,Vial,1,"Hualan Biological Bacterin Co., Ltd",State Food and Drug Administration
"Influenza, seasonal",Nasovac-S,Lyophilised active component to be reconstituted with excipient diluent before use,Vial + Ampoule,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
"Influenza, seasonal",Vaxigrip,Liquid: ready to use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Japanese Encephalitis Vaccine (Inactivated),JEEV,Liquid: ready to use,Vial,1,Biological E. Limited,Central Drugs Standard Control Organization
"Japanese Encephalitis Vaccine (live, attenuated)",IMOJEV MD,Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),4,"GPO-MBP Co., Ltd.",Thai Food and Drug Administration
"Japanese Encephalitis Vaccine (live, attenuated)",Japanese Encephalitis Vaccine Live (SA14-14-2),Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),1,"Chengdu Institute of Biological Products Co.,Ltd",State Food and Drug Administration
"Japanese Encephalitis Vaccine (live, attenuated)",Japanese Encephalitis Vaccine Live (SA14-14-2),Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),5,"Chengdu Institute of Biological Products Co.,Ltd",State Food and Drug Administration
Measles,Measles vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Measles,Measles vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,20,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Measles,"Measles Vaccine ,Live,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Measles,"Measles Vaccine ,Live,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,2,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Measles,"Measles Vaccine ,Live,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,5,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Measles,"Measles Vaccine ,Live,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Measles,ROUVAX,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Measles and Rubella,Measles and Rubella Virus Vaccine Live,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Measles and Rubella,Measles and Rubella Virus Vaccine Live,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,2,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Measles and Rubella,Measles and Rubella Virus Vaccine Live,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,5,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Measles and Rubella,Measles and Rubella Virus Vaccine Live,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
"Measles, Mumps and Rubella","Measles,Mumps and Rubella Vaccine,Live ,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
"Measles, Mumps and Rubella","Measles,Mumps and Rubella Vaccine,Live ,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,2,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
"Measles, Mumps and Rubella","Measles,Mumps and Rubella Vaccine,Live ,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,5,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
"Measles, Mumps and Rubella","Measles,Mumps and Rubella Vaccine,Live ,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
"Measles, Mumps and Rubella",Priorix,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
"Measles, Mumps and Rubella",Priorix,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,2,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
"Measles, Mumps and Rubella",rHA M-M-R II,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Merck Vaccines,Medicines Evaluation Board (MEB)
"Measles, Mumps and Rubella",TRIMOVAX M�RIEUX,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
"Measles, Mumps and Rubella",TRIMOVAX M�RIEUX,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
